Title	Original Search term	Link	Author	Work_type	Character	Target_region	Lang	Metalang	Source	Year	Transcribed	TEI	Amount of Text	Added to corpus?	ACTE	SCENE	Comments
Sisca à de Cinéma		https://gallica.bnf.fr/ark:/12148/bpt6k2392126s/f3.image.r=Ze%20l'attender%20toujours%20y%20parler%20de%20chine%CC%81ma?rk=21459;2			n/a	Tourcoing	fra-fla	met-fr	Gallica	1925	yes	yes					
De Roi Dagobert		https://gallica.bnf.fr/ark:/12148/bpt6k2392098x/f3.item.r=%22ze%20l'a%22mo.zoom	Jules Watteuw		n/a	Tourcoing	fra-fla	met-fr	Gallica	1925	yes						
Le Piote et Le Roi		https://gallica.bnf.fr/ark:/12148/bd6t53438933/f63.item.r=mo%20li%20watteuw	Amis de Tourcoing		n/a	Tourcoing	fra-fla	met-fr	Gallica	1926	yes						
Pitche		https://gallica.bnf.fr/ark:/12148/bpt6k2392207s/f4.item.r=%22mais%20mo%20pas%22.zoom	Jules Watteuw		n/a	Tourcoing	fra-fla	met-fr	Gallica	1927	yes	yes	a lot				
Belle Réponse	camerate alimand	https://gallica.bnf.fr/ark:/12148/bpt6k2392471n/f4.item.r=camerate%20alimand.zoom	Jules Watteuw		n/a	Tourcoing	fra-fla	met-fr	Gallica	1932	yes	yes					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
														                        <date>1874</date>			
