COLaF ID and link	Title	Year	Original Search term	Link	Author	Genre	Character	Target_region	Lang	Metalang	Source	Transcribed	TEI	Added to corpus?
MOL_DEU_005	Lettre de la Comtesse de ***	1703 (1738)	n/a	https://www.delpher.nl/nl/boeken1/gview?query=%22ly+dire%22&coll=boeken1&maxperpage=40&identifier=jSROtXbhTfsC&rowid=6		letter	La Comtesse	Switzerland	fra-deu	met-fr	Gallica	yes	yes	yes
MOL_TC_019	Le Galant Jardinier	1704	Dancourt li	https://www.theatre-classique.fr/pages/documents/DANCOURT_GALANTJARDINIER.xml	Dancourt	drama	Lucas	French Peasant	fra-dia	met-fr	theatre-classique	yes	yes	yes
MOL_TC_020	La Comédie des comédiens	1710	n/a	https://www.theatre-classique.fr/pages/documents/DANCOURT_COMEDIECOMEDIENS.xml	Dancourt	drama	Thibaut	French Peasant	fra-dia	met-fr	theatre-classique	yes	yes	yes
MOL_TC_021	Première Parade	1714 (1740)	n/a	https://www.theatre-classique.fr/pages/documents/GUEULLETTE_PARADE1.xml	Gueullette	drama	Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_TC_022	Arelequin-Pluton	1719	n/a	https://www.theatre-classique.fr/pages/documents/GUEULLETTE_ARLEQUINPLUTON.xml	Gueullette	drama	Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_ANG_003	Rime anglaise contre les officiers généraux de la Martinique	1721	n/a	https://satires18.univ-st-etienne.fr/texte/martinique-anglais-parodie/rime-anglaise-contre-les-officiers-g%C3%A9n%C3%A9raux-de-la-martinique	Anonymous	poetry	n/a	England	fra-ang	met-fr	univ st etienne	yes	yes	yes
	île de la Rasion	1727		https://www.theatre-classique.fr/pages/documents/MARIVAUX_ILEDELARAISON.xml	Marivaux	drama	Marivaux	Fontignac	fra-gsc	met-fr	theatre-classique			
MOL_HC_001	La passion de Notre Seigneur selon St Jean en Langage Negre	1730		http://creoles.free.fr/Cours/passion.htm	Anonymous	bible	n/a	Caribbean	hat	met-fr	creoles.fr	yes	yes	yes
MOL_TC_023	LE JE NE SAIS QUOI	1731	n/a	https://www.theatre-classique.fr/pages/documents/BOISSY_JENESAISQUOI.xml	Boissy	drama	Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	yes	yes	yes
MOL_TC_024	La Mère confidente	1735	n/a	https://www.theatre-classique.fr/pages/documents/MARIVAUX_MERECONFIDENTE.xml	Marivaux	drama	Lubin	French Peasant	fra-dia	met-fr	theatre-classique	yes	yes	yes
